ID_EMPRESA;COD_AREA;DESCRICAO;COD_GRP_AREA
1;002240;PLATAFORMA GAROUPA PGP-1;
1;002241;PLATAFORMA PARGO PPG-1;
1;002242;PLATAFORMA PAMPO PPM-1;
1;002243;PLATAFORMA ENCHOVA PCE-1;
1;002244;PLATAFORMA CHERNE I PCH-1;
1;002245;PLATAFORMA CHERNE II PCH-2;
1;002246;PLATAFORMA NAMORADO I PNA-1;
1;002247;PLATAFORMA NAMORADO II PNA-2;
1;045006;OBRA VALE SA;
1;1000     ;SOCIO;00002
1;1001     ;DIRETORIA                                         ;00002
1;100101   ;SOCIO SCP;00002
1;1002     ;RECEPCAO;00002
1;100201;DIRETORIA SCP;
1;1003     ;GP - NOVA CONSCIENCIA;
1;1500     ;MOBILIZACAO                                       ;
1;1501     ;LOCACAO GAP                                       ;
1;1502     ;LOCACAO IBIRACU                                   ;
1;1503     ;PRO LABORE-AUTONOMO;00002
1;2000     ;ENGENHARIA;00002
1;2001     ;ORCAMENTO                                         ;00002
1;200101   ;ORCAMENTO SCP;00002
1;2002     ;PROJETO                                           ;00002
1;2003     ;QUALIDADE                                         ;00003
1;200301;QUALIDADE SCP;
1;2004     ;FABRICA;00001
1;2005     ;ALMOXARIFADO                                      ;00001
1;200501   ;ALMOXARIFADO SCP;00001
1;2006     ;ESTAGIARIOS                                       ;
1;2007     ;PLANEJAMENTO                                      ;00002
1;2008     ;EXPANSAO IMETAME;00001
1;2011;EXPANSAO IMETAME MACAE;
1;2012;FABRICACAO MACAE - SEDE ES;
1;2013;ACORDOS DE EXPANSAO;
1;2014;PLANEJAMNENTO MACAE;
1;2015;MANUTENCAO;
1;2016;IMETAME ENERGIA TEMP;
1;2017;EXPANSAO IMETAME PORTO;
1;2018;FABRICACAO CONTEINER PORTO;
1;2019;IMETAME GRANITOS TEMP;
1;2020;SERVIÇOS EXTERNOS GERAIS;
1;3000     ;ADMINISTRACAO;00002
1;3001     ;GESTAO DE PESSOAS;00002
1;300101;GESTAO DE PESSOAS SCP;
1;300102;COMUNICACAO;
1;3002     ;GER ADMINISTRATIVA                                ;00002
1;300201   ;GER.ADMINISTRATIVA SCP;00002
1;3003     ;CONTABIL/FISCAL;00002
1;3004     ;LOGISTICA DE PESSOAS;00002
1;300401   ;DEPARTAMENTO PESSOAL SCP;00002
1;3005     ;INFORMATICA                                       ;00002
1;300501   ;INFORMATICA SCP;00002
1;3006     ;VALORIZACAO DA VIDA;00004
1;300601;SEGURANÇA TRABALHO SCP;
1;3007     ;TRANSPORTE                                        ;00002
1;300701   ;TRANSPORTE SCP;00002
1;3008     ;SUPRIMENTOS;00001
1;300801   ;SUPRIMENTOS SCP;00002
1;3009     ;ESTAGIARIOS - ADM                                 ;00002
1;3010     ;FINANCEIRO;00002
1;3011     ;CONTROLE;00002
1;301101   ;CONTROLADORIA SCP;00002
1;3012     ;COMPRAS                                           ;00002
1;301201   ;COMPRAS SCP;00002
1;3013     ;APRENDIZ;00002
1;3014;DEPARTAMENTO PESSOAL;
1;3015;GER. DE DESENVOLVIMENTO;
1;3016;PROG. VAL. DA VIDA;
1;3017;COMERCIAL;
1;3018;GESTAO DO COMPROMETIMENTO;
1;3019;GESTAO DE EQUIPES;
1;3020;JURIDICO;
1;3021;GP  - BENEFICIOS;
1;3022;GP - ACOMP SOCIAL/DESEN PROF;
1;3023;GP - TREINAMENTO;
1;3024;GP - PROGRAMAS;
1;3025;GP - VALORIZACAO DA FAMILÍA;
1;3026;GP - RECRUTAMENTO SELECAO;
1;3027;ORGANIZACAO E LIMPEZA;
1;3028;TRANSPORTE ADM;
1;3029;SISTEMA GESTAO INTEGRADA;
1;3030;LOGISTICA NEGOCIOS;
1;3031;VOANDO ALTO;
1;4000     ;CONTRATOS DE MANUTENCAO                           ;
1;4001     ;ARACRUZ CELULOSE SA;00001
1;4002     ;BAHIA SUL CELULOSE;00001
1;4003     ;CONTRATO MANUT SUZANO;00001
1;4004     ;ARACRUZ CELULOSE-KVAERNER                         ;00001
1;4008     ;ANDRITZ-ES                                        ;
1;4009     ;ATUAL SERVICOS                                    ;
1;4010     ;ACOFORJA                                          ;
1;4011;MACAE RJ - PARGO PPG-1;
1;4012;MACAE RJ - GAROUPA PGP-1;
1;4013;MACAE RJ - PAMPO PPM-1;
1;4014;MACAE RJ - ENCHOVA PCE-1;
1;4015;MACAE RJ - CHERNE I PCH-1;
1;4016;MACAE RJ - CHERNE II PCH-2;
1;4017;MACAE RJ - NAMORADO I PNA-1;
1;4018;MACAE RJ - NAMORADO II PNA-2;
1;4019;PROJETOS/ENGENHARIA MACAE;
1;4020;PLANEJAMENTO;
1;4021;CONTRATO PETROBRAS MACAE RJ;
1;4022;MACAE RJ - CARAPEBA PCP-1/3;
1;4023;MACAE RJ - CARAPEBA PCP-2;
1;4024;MACAE RJ - PARGO PPG-1;
1;4025;MACAE RJ - VERMELHO PVM-I;
1;4026;MACAE RJ - VERMELHO PVM-II;
1;4027;MACAE RJ - VERMELHO PVM-III;
1;4028;MACAE RJ - GAROUPA PGP-1;
1;4029;ADM CONTRATO PETROBRAS MACAE RJ;
1;4030;MACAE APRENDIZ;
1;4031;MACAE RJ - CHERNE I PCH-1;
1;4032;MACAE RJ - P-61;
1;4033;MACAE RJ - P-63;
1;4034;MACAE RJ - P-09;
1;4035;MACAE RJ - CHERNE II PCH-2;
1;4036;MACAE RJ - P-47;
1;4037;MACAE RJ - P-07;
1;4038;MACAE RJ - P-15;
1;4039;MACAE RJ - P-25;
1;4040;MACAE RJ - P-32;
1;4041;MACAE RJ - P-65;
1;4042;MACAE RJ - ENCHOVA PCE-1;
1;4043;MACAE RJ - NAMORADO I PNA-1;
1;4501;PARADA ANDRITZ - MR;
1;5000     ;OBRAS                                             ;00001
1;5001     ;KVAERNER-VCP JACAREI                              ;
1;5002     ;KVAERNER - RIPASA                                 ;
1;5003     ;KVAERNER - CENIBRA                                ;
1;5004     ;VCP JACAREI                                       ;
1;5005     ;OBRA SUZANO BSC                                   ;00001
1;5006     ;OBRA ARCEL;
1;5007     ;PSN - EXPANSAO ARCEL                              ;
1;5008     ;OBRA - BSC                                        ;00001
1;5009     ;OBRA SUZANO                                       ;00001
1;5010     ; VCP LA                                           ;
1;5011     ;OBRA - ARCELOR;00001
1;5012     ;VERACEL OBRA                                      ;00001
1;5013     ;BOC - CST                                         ;
1;5014     ;METSO MATRIZ                                      ;
1;5015     ;NCS                                               ;
1;5016     ;SBM-SIDERURGICA B.MANSA                           ;00001
1;5017     ;PARADA KVAERNER VERACEL                           ;00001
1;5018     ;DEGREMONT                                         ;
1;5019     ;METSO VERACEL                                     ;
1;5020     ;OBRA CENIBRA                                      ;00001
1;5021     ;OBRA RIPASA METSO                                 ;00001
