ID_EMPRESA;COD_FUNCAO;DESCRICAO;COD_GRP_FUNCAO
1;0000;INDEFINIDO;00002
1;0001;AJUDANTE;00001
1;0002;AJUDANTE I;00001
1;0003;AJUDANTE II;00001
1;0004;AJUDANTE III;00001
1;0005;AJUDANTE IV;00001
1;0006;AJUDANTE V;00001
1;0007;ALMOXARIFE I;00001
1;0008;ALMOXARIFE II;00001
1;0009;ALMOXARIFE III;00001
1;000A;ALMOXARIFE IV;00001
1;000B;ALMOXARIFE V;00001
1;000C;ALMOXARIFE VI;00001
1;000D;ANALISTA CREDITO COB;00002
1;000E;ANALISTA CREDITO COB;00002
1;000F;ANALISTA CREDITO COB;00002
1;000G;ANALISTA CREDITO COB;00002
1;000H;ANALISTA CREDITO COB;00002
1;000I;ANALISTA DE CUSTOS;00002
1;000J;ANALISTA DE CUSTOS I;00002
1;000K;ANALISTA DE CUSTOS I;00002
1;000L;ANALISTA DE RH;00002
1;000M;ANALISTA DE RH I;00002
1;000O;ANALISTA DE RH II;00002
1;000P;ANALISTA DE SISTEMAS;00002
1;000Q;ANALISTA DE SISTEMAS I;00002
1;000R;ASSIST.ADMINIST.;00002
1;000S;ASSIST.ADMINIST.I;00002
1;000T;ASSIST.ADMINIST.II;00002
1;000U;ASSIST.ADMINIST.III;00002
1;000V;ASSIST.ADMINIST.IV;00002
1;000W;ASSIST.ADMINIST.V;00002
1;0010;ASSIST.ADMINIST.VI;00002
1;0011;ASSIST.ADMINIST.VII;00002
1;0012;ASSIST.ADMINIST.VIII;00002
1;0013;ASSISTENTE TECNICO I;00002
1;0014;ASSISTENTE TECNICO III;00002
1;0015;ASSISTENTE TECNICO IV;00002
1;0016;ASSISTENTE TECNICO VI;00002
1;0017;ASSISTENTE TECNICO SENIOR;00002
1;0018;ATENDENTE;00002
1;0019;ATENDENTE I;00002
1;001A;AUXILIAR DE APROPRIA;00002
1;001B;AUXILIAR DE ESCRITOR;00002
1;001C;AUXILIAR DE ESCRITOR;00002
1;001D;AUXILIAR TECNICO I;00002
1;001E;AUXILIAR TECNICO II;00002
1;001F;AUXILIAR TECNICO III;00002
1;001G;AUXILIAR TECNICO IV;00002
