ID_EMPRESA;ID_ALMOX;COD_PRODUTO;COD_LOTE;DT_VENCIMENTO;SALDO
1;34;00482;R030023;19/07/2016 00:00;17
1;34;00482;R032850;19/07/2016 00:00;52
1;34;00482;R034909;19/07/2016 00:00;34
1;34;00482;R039836;19/07/2016 00:00;17
1;34;00483;R031111;19/07/2016 00:00;16
1;34;00533          ;R031942;19/07/2016 00:00;5
1;34;00534          ;R032142;19/07/2016 00:00;10
1;34;01208          ;6719;19/07/2016 00:00;5
1;34;01209;6719;19/07/2016 00:00;5
1;34;01210;6719;19/07/2016 00:00;0
1;34;01211;6719;19/07/2016 00:00;7
1;34;01212;6719;19/07/2016 00:00;4
1;34;01320;R034347;19/07/2016 00:00;15
1;34;01552          ;R039189;19/07/2016 00:00;4
1;34;01604;R037620;19/07/2016 00:00;12
1;34;01639;R032492;19/07/2016 00:00;3
1;34;01639;R034739;19/07/2016 00:00;5
1;34;01639;R036120;19/07/2016 00:00;4
1;34;01639;R039147;19/07/2016 00:00;4
1;34;01659;18856;19/07/2016 00:00;51
1;34;01663;498;19/07/2016 00:00;29
1;34;01685;15227;19/07/2016 00:00;27
1;34;01687;18854;19/07/2016 00:00;2
1;34;01687;18855;19/07/2016 00:00;5
1;34;01690;6135;19/07/2016 00:00;3
1;34;01691;6193;19/07/2016 00:00;2
1;34;01695;18854;19/07/2016 00:00;2
1;34;01695;18855;19/07/2016 00:00;5
1;34;01697;5745;19/07/2016 00:00;80
1;34;01720;11125;19/07/2016 00:00;3
1;34;01752;12684;19/07/2016 00:00;66
1;34;01907;R016014;19/07/2016 00:00;175
1;34;01908;R016014;19/07/2016 00:00;34
1;34;02790;R032848;19/07/2016 00:00;4
1;34;04712;26629;19/07/2016 00:00;2
1;34;04801;34592;19/07/2016 00:00;9
1;34;04887;R033446;19/07/2016 00:00;15
1;34;04887;R035944;19/07/2016 00:00;30
1;34;06921;R016014;19/07/2016 00:00;680
1;34;08816;R016014;19/07/2016 00:00;2
1;34;10085;R033301;19/07/2016 00:00;1
1;34;22087;11653;19/07/2016 00:00;6
1;34;24998;20590;19/07/2016 00:00;2
1;34;28023          ;27507;19/07/2016 00:00;27
1;34;30266;11882;19/07/2016 00:00;3
1;34;30309;18139;19/07/2016 00:00;5
1;34;30342;16610;19/07/2016 00:00;31
1;34;30342;27506;19/07/2016 00:00;15
1;34;30342;27744;19/07/2016 00:00;10
1;34;31002;10146;19/07/2016 00:00;10
1;34;31095;16610;19/07/2016 00:00;3
1;34;31095;27506;19/07/2016 00:00;59
1;34;31095;27744;19/07/2016 00:00;30
1;34;31438;25721;19/07/2016 00:00;15
1;34;34569;R039281;19/07/2016 00:00;1
1;34;34570;R036341;19/07/2016 00:00;1
1;34;35548;25721;19/07/2016 00:00;11
1;34;35585;32200;19/07/2016 00:00;21
1;34;35816;R039157;19/07/2016 00:00;1
1;34;36208;6719;19/07/2016 00:00;1
1;34;36793;R036124;19/07/2016 00:00;1
1;34;36981;R036124;19/07/2016 00:00;1
1;34;38703;R033301;19/07/2016 00:00;1
1;34;38829;R032492;19/07/2016 00:00;3
1;34;38829;R034739;19/07/2016 00:00;5
1;34;38829;R039147;19/07/2016 00:00;4
1;34;39096;11653;19/07/2016 00:00;2
1;34;51693;R040324;19/07/2016 00:00;1
1;34;67256;15021;19/07/2016 00:00;1
1;34;67627;R039158;19/07/2016 00:00;1
1;34;67636;R039157;19/07/2016 00:00;1
1;34;67636;R039158;19/07/2016 00:00;1
1;34;79112;R040324;19/07/2016 00:00;1
1;36;00533          ;R031942;19/07/2016 00:00;11
1;36;00533          ;R036285;19/07/2016 00:00;60
1;36;00534;R026802;19/07/2016 00:00;3
1;36;00534;R027968;19/07/2016 00:00;30
1;36;00534;R029432;19/07/2016 00:00;5
1;36;00534;R032142;19/07/2016 00:00;10
1;36;01552;R035642;19/07/2016 00:00;1
1;36;01604;R036066;19/07/2016 00:00;0
1;36;01659;18856;19/07/2016 00:00;15
1;36;01687;18855;19/07/2016 00:00;10
1;36;01690;6135;19/07/2016 00:00;2
1;36;01695;18854;19/07/2016 00:00;10
1;36;01697;5745;19/07/2016 00:00;100
1;36;22000;10464;19/07/2016 00:00;22
1;36;24998;20590;19/07/2016 00:00;250
1;36;24998;25968;19/07/2016 00:00;50
1;36;28023;27507;19/07/2016 00:00;30
1;36;34569;R022677;19/07/2016 00:00;1
1;36;34570;R036341;19/07/2016 00:00;1
1;36;34571;R036535;19/07/2016 00:00;1
1;36;34571;R039190;19/07/2016 00:00;6
1;36;35548;25721;19/07/2016 00:00;15
1;36;36206;6719;19/07/2016 00:00;1
1;36;37120;R032752;19/07/2016 00:00;2
1;52;00530          ;R029434;19/07/2016 00:00;3
1;52;00531;R029435;19/07/2016 00:00;5
1;52;00534;R029432;19/07/2016 00:00;5
1;52;01270          ;R031718;19/07/2016 00:00;3199
1;52;01691;29857;19/07/2016 00:00;2
1;52;01907;R032558;19/07/2016 00:00;680
1;52;01908;R032134;19/07/2016 00:00;60
1;52;01908;R032559;19/07/2016 00:00;280
1;52;01908;R032561;19/07/2016 00:00;20
1;52;01908;R034447;19/07/2016 00:00;80
1;52;01910;R034553;19/07/2016 00:00;8
1;52;01911;R032568;19/07/2016 00:00;240
1;52;04887;R038951;19/07/2016 00:00;0
1;52;08696;R032135;19/07/2016 00:00;120
1;52;08697;R032131;19/07/2016 00:00;720
1;52;19403;R032567;19/07/2016 00:00;120
1;52;22087          ;11653;19/07/2016 00:00;6
1;52;26198;R034552;19/07/2016 00:00;8
1;52;30764;R034446;19/07/2016 00:00;40
1;52;31438;25721;19/07/2016 00:00;10
1;52;32017;11653;19/07/2016 00:00;5
1;52;37329;R032557;19/07/2016 00:00;248
1;52;39096;11653;19/07/2016 00:00;2
1;52;42458;R031717;19/07/2016 00:00;3200
1;52;42458;R034444;19/07/2016 00:00;380
1;52;42458;R037152;19/07/2016 00:00;160
1;52;66523;R032132;19/07/2016 00:00;1440
1;52;68558;R032555;19/07/2016 00:00;20
1;52;68559;R032556;19/07/2016 00:00;49
1;52;68560;R032554;19/07/2016 00:00;120
