MOVID;ID_EMPRESA;ID_ALMOX;MAT_BALCONISTA;MAT_SOLICITANTE;MAT_SUPERVISOR;COD_PRODUTO;NUMOS;DATAHORA;QTDE;COD_FERRAMENTA;LOTE;DT_VENCIMENTO;ES;FORMABAIXA;OID;INT_STATUS;INT_DT_SINC;INT_RETORNO;OID_REF;ID_ALMOX_DEV;ID_COMPUTADOR
508;1;36;027864;032445;;01604;I04014;05/08/2016 16:12;1;;R036066;19/07/2016 00:00;1; ;1B3F37FB-43B8-4465-8FD8-EEDEAB8D650D;;;;;;1
3479;1;52;019173;008042;;31095;;29/08/2016 10:19;1;;;;8;;F75D1538-D52E-48FD-9843-721DE75FD592;;;;;;4
3480;1;52;019173;008042;;31095;;29/08/2016 10:19;1;;;;7;R;09E75D45-3CFD-4CD2-A841-C9E0E4D13130;;;;039F5A90-501B-40D2-8137-266F6326F3A0;4;4
4336;1;36;027864;032445;;01659;I04014;02/08/2016 14:07;1;;18856;19/12/2016 00:00;1;;0F8F7262-C342-46B9-A6B9-218C7C0EA1BA;;;;;;1
4337;1;36;999999;999999;;01659          ;;02/08/2016 00:00;1;;18856     ;02/08/2019 00:00;3;;6EFC5695-88C7-4952-9505-DFB03BB28CB5;;;;;;0
4338;1;52;027864;032445;;22087          ;003490;02/08/2016 15:22;1;;11653;19/12/2016 00:00;1;;94293D42-C40B-4891-A4D3-0D8B5C2D1046;;;;;;1
4339;1;52;999999;999999;;22087          ;;02/08/2016 00:00;1;;11653     ;19/07/2016 00:00;3;;4295BB10-5279-416F-B7F3-8E8BDBCDA9B0;;;;;;0
4340;1;52;027864;032445;;79644          ;003490;03/08/2016 09:09;1;;R033274;19/07/2016 00:00;1;;BC7B3B67-153F-4210-BEE3-2D4EC1AFAFBC;;;;;;1
4341;1;52;027864;032445;;01659;;03/08/2016 09:10;1;;18856;19/12/2016 00:00;2;D;AF1C78FF-1B1F-414A-BF45-0979E777238D;;;;0F8F7262-C342-46B9-A6B9-218C7C0EA1BA;36;1
4342;1;52;027864;032445;;22087          ;;03/08/2016 09:10;1;;11653;19/12/2016 00:00;2;D;43066C01-8729-48B2-BC91-490961C4E613;;;;94293D42-C40B-4891-A4D3-0D8B5C2D1046;;1
4343;1;36;999999;999999;;01659          ;;03/08/2016 00:00;1;;18856     ;02/08/2019 00:00;3;;E4183FB0-E9A3-4FB5-8C58-59A07ED07E5B;;;;;;0
4344;1;34;000744;001340;;01659          ;I04014;03/08/2016 14:51;1;;18856;19/12/2016 00:00;1;;9E88F2C1-5C73-484C-8DAF-802B936B34CC;;;;;;2
4345;1;34;999999;999999;;01659          ;;04/08/2016 00:00;1;;FSR123    ;04/08/2016 00:00;4;;0883EEC8-B191-423E-8254-BEB5D93CFBD0;;;;;;0
4346;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;D0AA0F7C-BC4C-4A48-B75D-38B2BBDE466E;;;;;;2
4347;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;DD3281D6-C9DE-4CB0-A113-4F1C146283F8;;;;;;2
4348;1;34;999999;999999;;01659          ;;04/08/2016 00:00;1;;FSR123    ;04/08/2016 00:00;4;;BCDFAC6A-E582-430E-AFF7-CA5DBA902D49;;;;;;0
4349;1;34;999999;999999;;01659          ;;04/08/2016 00:00;1;;FSR123    ;04/08/2016 00:00;4;;31EB52B9-93AA-4844-8BFA-DAC649E19314;;;;;;0
4350;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;8E1F9B3D-20E9-457F-BCDA-E48201122103;;;;;;2
4351;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;83C005C6-AA4D-456B-B3D8-E266F546F954;;;;;;2
4352;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;EF3B0281-47A9-41E4-AAB2-5801FD7CC7AE;;;;;;2
4353;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;DC5EE847-CA7B-4C41-9BC1-310C05368E2D;;;;;;2
4354;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;E2A4E37E-9B76-4998-87E7-3A3033075DEC;;;;;;2
4355;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;6787864E-3F28-470D-9ED3-69117581CAE0;;;;;;2
4356;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;16DF45ED-8B37-4664-9D92-2912EAD19455;;;;;;2
4357;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;ABE52919-5974-4E0B-A30D-23F6E61FA0BB;;;;;;2
4358;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;33E63068-F7C3-4B75-8599-B153E863661E;;;;;;2
4359;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;979E9444-24C7-43A2-9130-392B18E6A131;;;;;;2
4360;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;6EC679FC-943A-46E6-A1DC-7C51F78680E2;;;;;;2
4361;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;F39993B1-E9F0-434B-81E3-3F8F66B21C54;;;;;;2
4362;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;2BCFF898-0303-4B14-B960-2B31C77FBED3;;;;;;2
4363;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;5A1A5F2D-5580-4553-B4D0-332F7F4DC38C;;;;;;2
4364;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;1CC1C93B-6137-468F-8DF3-2229E6BB6B2B;;;;;;2
4365;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;248EC465-D6B3-48FE-A68D-070226D0E2EF;;;;;;2
4366;1;34;000744;000744;;01659;;04/08/2016 00:00;1;;18856;19/07/2016 00:00;2;;592627D4-35DB-43BB-A50B-076B00B5F3FA;;;;;;2
